,carat,cut,color,clarity,depth,table,price,x,y,z,volume,surface_area
51745,0.24,Very Good,F,VVS2,62.3,58.0,552,3.95,3.98,2.47,38.830870000000004,20.8
32285,0.24,Very Good,E,VS1,62.4,56.0,461,3.96,3.97,2.47,38.83136400000001,20.8
28392,0.24,Ideal,D,VS1,62.6,57.0,687,3.92,4.0,2.48,38.8864,20.8
13315,0.24,Very Good,E,VS2,63.0,58.0,419,3.94,3.97,2.49,38.94808200000001,20.8
39193,0.24,Very Good,E,VVS1,63.5,57.0,492,3.94,3.96,2.51,39.162023999999995,20.82
13330,0.24,Very Good,D,VS1,62.2,58.0,419,3.95,3.99,2.47,38.92843500000001,20.82
27685,0.24,Premium,H,VVS1,61.2,58.0,432,3.96,4.01,2.44,38.746224,20.82
39192,0.24,Very Good,D,VVS2,62.9,59.0,492,3.95,3.97,2.49,39.046935000000005,20.82
63,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,38.746224,20.82
28985,0.24,Ideal,H,VVS2,62.5,54.0,442,3.95,3.98,2.48,38.98808,20.82
15662,0.24,Very Good,E,VVS2,62.2,56.0,608,3.96,3.98,2.47,38.929176000000005,20.82
40838,0.24,Very Good,F,VS1,62.9,59.0,393,3.95,3.97,2.49,39.046935000000005,20.82
36872,0.24,Very Good,E,VVS2,63.9,53.0,485,3.93,3.96,2.52,39.218256000000004,20.82
28037,0.24,Ideal,F,VVS2,62.1,56.0,678,3.96,3.99,2.46,38.868984000000005,20.82
49744,0.24,Good,F,VS1,62.5,60.0,399,3.96,3.98,2.48,39.086784,20.84
51746,0.24,Very Good,F,VVS2,62.8,58.0,552,3.95,3.98,2.49,39.14529,20.84
6683,0.24,Very Good,E,VS1,62.5,55.0,412,3.96,3.98,2.48,39.086784,20.84
34254,0.24,Very Good,E,VVS2,62.1,59.0,471,3.95,4.0,2.47,39.026,20.84
28046,0.24,Ideal,F,IF,61.6,57.0,678,3.97,4.0,2.45,38.906000000000006,20.840000000000003
3352,0.24,Ideal,F,VS2,61.8,57.0,408,3.97,3.99,2.46,38.967138,20.840000000000003
47,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,38.906000000000006,20.840000000000003
29188,0.24,Premium,D,VVS1,61.5,60.0,710,4.0,3.97,2.45,38.906000000000006,20.840000000000003
36568,0.24,Very Good,E,VVS2,63.4,57.0,485,3.95,3.97,2.51,39.360565,20.86
30952,0.24,Very Good,D,VS2,61.4,60.0,373,3.98,4.0,2.45,39.004000000000005,20.86
36886,0.24,Very Good,E,VVS1,60.4,62.0,485,3.99,4.02,2.42,38.816316,20.86
15660,0.24,Very Good,F,VVS2,61.7,56.0,608,3.98,4.0,2.45,39.004000000000005,20.86
13314,0.24,Very Good,E,VS2,63.1,56.0,419,3.95,3.98,2.5,39.3025,20.86
27311,0.24,Very Good,E,VS1,61.7,60.0,430,3.97,4.0,2.46,39.0648,20.86
45160,0.24,Ideal,E,VVS2,61.7,58.0,526,3.96,4.01,2.46,39.063815999999996,20.86
52061,0.24,Very Good,D,VVS2,62.4,58.0,552,3.94,4.01,2.48,39.182511999999996,20.86
15663,0.24,Very Good,E,VVS2,62.4,54.0,608,3.96,3.99,2.48,39.184992,20.86
51755,0.24,Very Good,E,VVS2,62.4,58.0,552,3.96,3.99,2.48,39.184992,20.86
28045,0.24,Ideal,F,IF,62.9,55.0,678,3.96,3.98,2.5,39.402,20.88
36870,0.24,Very Good,E,VVS2,64.0,56.0,485,3.94,3.97,2.53,39.573753999999994,20.88
36887,0.24,Very Good,E,VVS1,62.0,60.0,485,3.96,4.01,2.47,39.222612,20.88
52074,0.24,Ideal,F,VVS2,60.7,56.0,552,3.98,4.03,2.43,38.975742000000004,20.88
36567,0.24,Very Good,E,VVS2,63.3,57.0,485,3.95,3.98,2.51,39.459709999999994,20.88
36880,0.24,Very Good,F,VVS1,61.7,56.0,485,3.98,4.0,2.46,39.163199999999996,20.880000000000003
1365,0.24,Ideal,G,VVS1,62.1,56.0,559,3.97,4.0,2.47,39.223600000000005,20.880000000000003
43114,0.25,Good,E,IF,65.6,54.0,512,3.91,3.95,2.58,39.846810000000005,20.880000000000003
1364,0.24,Ideal,G,VVS1,62.4,56.0,559,3.97,3.99,2.48,39.283944000000005,20.880000000000003
52060,0.24,Very Good,D,VVS2,62.9,58.0,552,3.96,3.99,2.5,39.501000000000005,20.9
36569,0.24,Very Good,E,VVS2,62.9,57.0,485,3.96,3.99,2.5,39.501000000000005,20.9
52059,0.24,Very Good,D,VVS2,60.6,59.0,552,4.0,4.02,2.43,39.0744,20.9
27741,0.24,Premium,E,VVS1,60.6,59.0,668,4.02,4.0,2.43,39.0744,20.9
13320,0.24,Very Good,F,VS2,62.9,58.0,419,3.94,4.01,2.5,39.49849999999999,20.9
51757,0.24,Very Good,E,VVS2,61.6,59.0,552,3.98,4.01,2.46,39.261108,20.9
13332,0.24,Ideal,F,VS2,62.2,57.0,419,3.96,4.01,2.48,39.38140799999999,20.9
13331,0.24,Very Good,D,VS1,62.9,56.0,419,3.96,3.99,2.5,39.501000000000005,20.9
43841,0.24,Very Good,E,VVS1,60.6,59.0,521,4.0,4.02,2.43,39.0744,20.9
46499,0.24,Very Good,I,VS1,61.8,56.0,397,3.98,4.01,2.46,39.261108,20.9
15664,0.24,Very Good,F,VVS1,62.2,57.0,608,3.97,4.0,2.48,39.382400000000004,20.900000000000002
39191,0.24,Very Good,F,VVS2,61.9,56.0,492,3.97,4.01,2.47,39.321659000000004,20.900000000000002
30284,0.24,Very Good,H,VVS2,61.9,57.0,449,3.97,4.01,2.47,39.321659000000004,20.900000000000002
1368,0.24,Ideal,G,VVS1,62.0,56.0,559,3.97,4.01,2.47,39.321659000000004,20.900000000000002
27650,0.24,Ideal,G,SI1,62.2,54.0,364,3.97,4.0,2.48,39.382400000000004,20.900000000000002
13322,0.24,Very Good,F,VS2,61.9,59.0,419,3.98,4.0,2.47,39.3224,20.900000000000002
40178,0.24,Good,E,VVS1,63.8,56.0,499,3.95,3.98,2.53,39.77413,20.919999999999998
27987,0.24,Premium,H,VVS1,60.8,59.0,432,4.0,4.02,2.44,39.23519999999999,20.919999999999998
47127,0.25,Very Good,D,VVS1,63.8,54.0,533,3.94,3.99,2.53,39.773118,20.919999999999998
51751,0.24,Very Good,E,VVS2,60.8,58.0,552,3.99,4.03,2.44,39.23446800000001,20.919999999999998
51748,0.24,Very Good,F,VVS2,60.5,59.0,552,3.98,4.05,2.43,39.16917,20.919999999999998
64,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,39.23519999999999,20.919999999999998
13312,0.24,Very Good,E,VS2,63.5,53.0,419,3.96,3.98,2.52,39.717216,20.919999999999998
40852,0.24,Very Good,G,VVS1,61.7,56.0,504,3.98,4.02,2.46,39.35901599999999,20.92
40864,0.24,Ideal,H,IF,62.5,54.0,504,3.97,4.0,2.49,39.5412,20.92
47461,0.24,Ideal,F,VS2,61.8,57.0,536,4.02,3.97,2.47,39.419718,20.92
28048,0.24,Ideal,F,IF,60.7,57.0,678,3.99,4.04,2.43,39.17062800000001,20.92
36874,0.24,Very Good,E,VVS2,62.2,60.0,485,3.97,4.01,2.48,39.480856,20.92
52077,0.24,Ideal,F,VVS2,61.8,56.0,552,3.97,4.02,2.47,39.419718,20.92
36871,0.24,Very Good,E,VVS2,62.5,58.0,485,3.96,4.01,2.49,39.540203999999996,20.92
39852,0.24,Ideal,G,VVS2,61.2,56.0,498,3.99,4.02,2.45,39.29751,20.92
36883,0.24,Very Good,E,VVS1,61.5,59.0,485,3.99,4.01,2.46,39.359754,20.92
9996,0.24,Ideal,F,VS2,61.8,57.0,417,3.97,4.02,2.47,39.419718,20.92
30285,0.24,Very Good,H,VVS2,61.5,56.0,449,3.99,4.01,2.46,39.359754,20.92
52070,0.24,Very Good,E,VVS1,62.5,59.0,552,3.96,4.01,2.49,39.540203999999996,20.92
48434,0.24,Ideal,F,VVS2,61.5,56.0,540,3.99,4.01,2.46,39.359754,20.92
51744,0.24,Very Good,F,VVS2,62.2,58.0,552,3.97,4.01,2.48,39.480856,20.92
36890,0.24,Very Good,E,VVS1,63.1,55.0,485,3.96,4.0,2.51,39.758399999999995,20.939999999999998
40833,0.24,Ideal,H,VS2,61.1,56.0,391,3.99,4.03,2.45,39.39526500000001,20.939999999999998
40862,0.24,Ideal,H,VVS1,61.5,55.0,504,3.99,4.02,2.46,39.457907999999996,20.939999999999998
34929,0.24,Very Good,D,SI1,63.1,55.0,475,3.95,4.01,2.51,39.757144999999994,20.939999999999998
13329,0.24,Very Good,D,VS1,61.4,58.0,419,3.99,4.02,2.46,39.457907999999996,20.939999999999998
1374,0.24,Ideal,G,IF,61.6,57.0,559,3.99,4.02,2.46,39.457907999999996,20.939999999999998
35912,0.24,Very Good,F,VVS2,62.1,58.0,478,3.96,4.03,2.48,39.577824,20.94
1371,0.24,Ideal,G,IF,61.7,56.0,559,3.99,4.01,2.47,39.519753,20.94
13319,0.24,Very Good,F,VS2,62.4,58.0,419,3.98,4.0,2.49,39.640800000000006,20.94
15665,0.24,Very Good,F,VVS1,62.3,56.0,608,3.97,4.01,2.49,39.640053,20.94
13317,0.24,Very Good,E,VS2,62.1,59.0,419,3.98,4.01,2.48,39.580304,20.94
13311,0.24,Very Good,E,VS2,60.1,58.0,419,4.01,4.04,2.42,39.204967999999994,20.94
52071,0.24,Very Good,E,VVS1,62.7,59.0,552,3.97,4.0,2.5,39.7,20.94
29187,0.24,Premium,E,VVS1,60.7,58.0,710,4.03,4.01,2.44,39.431132,20.959999999999997
46,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,39.431132,20.959999999999997
45161,0.24,Ideal,E,VVS2,61.3,57.0,526,4.0,4.02,2.46,39.556799999999996,20.96
28044,0.24,Ideal,E,VVS1,61.4,57.0,678,3.99,4.03,2.46,39.556062000000004,20.96
28639,0.25,Very Good,D,VS1,63.0,59.0,436,3.97,4.0,2.51,39.858799999999995,20.96
32282,0.24,Very Good,E,VS2,61.7,57.0,461,3.99,4.02,2.47,39.618306000000004,20.96
36876,0.24,Very Good,D,VVS2,61.3,58.0,485,3.99,4.03,2.46,39.556062000000004,20.96
34248,0.24,Good,E,VS2,63.0,59.0,378,3.96,4.01,2.51,39.85779599999999,20.96
28040,0.24,Ideal,F,VVS1,62.0,56.0,678,3.99,4.01,2.48,39.679752,20.96
28035,0.24,Ideal,F,VVS2,61.7,55.0,678,3.99,4.02,2.47,39.618306000000004,20.96
1373,0.24,Ideal,G,IF,61.8,55.0,559,3.99,4.02,2.47,39.618306000000004,20.96
36877,0.24,Very Good,D,VVS2,58.7,61.0,485,4.04,4.07,2.38,39.133864,20.979999999999997
35257,0.25,Good,E,VVS2,64.9,58.0,476,3.95,3.97,2.57,40.301455000000004,20.98
51750,0.24,Very Good,E,VVS2,62.9,59.0,552,3.97,4.01,2.51,39.958447,20.98
51412,0.25,Very Good,E,VVS1,62.6,57.0,548,3.98,4.01,2.5,39.899499999999996,20.98
39194,0.24,Very Good,D,VVS1,61.9,54.0,492,3.99,4.02,2.48,39.778704,20.98
36565,0.24,Very Good,E,VVS2,63.6,54.0,485,3.96,4.0,2.53,40.075199999999995,20.98
28036,0.24,Ideal,F,VVS2,62.0,57.0,678,3.99,4.02,2.48,39.778704,20.98
15667,0.24,Very Good,F,VVS1,62.5,55.0,608,3.98,4.02,2.49,39.839003999999996,20.98
5697,0.25,Very Good,E,VVS2,61.9,59.0,575,3.99,4.02,2.48,39.778704,20.98
40866,0.24,Ideal,H,IF,61.8,54.0,504,3.99,4.03,2.47,39.71685900000001,20.98
27659,0.24,Ideal,I,VS1,62.0,56.0,432,4.0,4.01,2.48,39.779199999999996,20.98
40831,0.24,Very Good,G,VS1,61.2,56.0,391,4.0,4.03,2.46,39.6552,20.980000000000004
1375,0.24,Ideal,G,IF,61.3,57.0,559,4.0,4.03,2.46,39.6552,20.980000000000004
13334,0.24,Ideal,F,VS1,61.3,56.0,419,4.0,4.03,2.46,39.6552,20.980000000000004
1372,0.24,Ideal,G,IF,60.8,58.0,559,4.01,4.05,2.44,39.626819999999995,20.999999999999996
13323,0.24,Very Good,F,VS1,59.9,58.0,419,4.02,4.06,2.42,39.49730399999999,20.999999999999996
48115,0.24,Very Good,F,VVS2,61.9,56.0,538,4.0,4.02,2.48,39.87839999999999,21.0
32284,0.24,Very Good,F,VS1,61.0,57.0,461,4.01,4.04,2.45,39.690979999999996,21.0
51405,0.25,Very Good,E,VVS2,62.2,61.0,548,3.98,4.03,2.49,39.938106000000005,21.0
4695,0.24,Ideal,F,VS1,61.8,54.0,572,3.99,4.03,2.48,39.87765600000001,21.0
35911,0.24,Very Good,F,VVS2,62.5,56.0,478,3.98,4.02,2.5,39.998999999999995,21.0
30406,0.24,Ideal,E,VVS1,60.9,56.0,752,4.01,4.04,2.45,39.690979999999996,21.0
30290,0.24,Very Good,H,VVS1,62.3,56.0,449,3.99,4.02,2.49,39.939102000000005,21.0
30288,0.24,Very Good,G,VVS2,62.0,56.0,449,3.99,4.03,2.48,39.87765600000001,21.0
13309,0.24,Very Good,D,VS2,60.2,59.0,419,4.03,4.04,2.43,39.56331600000001,21.0
37205,0.24,Ideal,E,SI1,62.5,56.0,486,4.01,3.99,2.5,39.99975,21.0
52067,0.24,Very Good,E,VVS1,62.2,59.0,552,3.99,4.02,2.49,39.939102000000005,21.0
51104,0.25,Very Good,E,VVS2,63.2,59.0,548,3.98,4.0,2.52,40.1184,21.0
28640,0.25,Ideal,F,VS2,62.8,57.0,436,3.98,4.01,2.51,40.059098,21.0
28641,0.24,Ideal,G,VS1,62.3,57.0,436,3.99,4.02,2.49,39.939102000000005,21.0
30,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,39.691469999999995,21.0
40859,0.24,Ideal,H,VVS2,61.5,57.0,504,4.0,4.03,2.47,39.81640000000001,21.000000000000004
51758,0.24,Very Good,E,VVS2,58.5,59.0,552,4.04,4.09,2.38,39.326167999999996,21.019999999999996
27643,0.24,Very Good,E,VS2,60.8,56.0,362,4.02,4.04,2.45,39.78996,21.019999999999996
37195,0.24,Premium,D,VS2,61.4,55.0,485,4.05,3.99,2.47,39.913965000000005,21.02
27743,0.24,Premium,D,VVS2,59.5,62.0,668,4.06,4.04,2.41,39.529784,21.02
5698,0.25,Very Good,E,VVS2,63.4,58.0,575,3.97,4.01,2.53,40.276841,21.02
52062,0.24,Very Good,F,VVS1,59.2,59.0,552,4.04,4.07,2.4,39.462720000000004,21.02
43538,0.24,Very Good,D,VVS2,59.5,62.0,521,4.04,4.06,2.41,39.529784,21.02
28038,0.24,Ideal,E,VVS2,61.4,57.0,678,4.0,4.04,2.47,39.915200000000006,21.02
38527,0.24,Ideal,G,VS1,61.8,54.0,490,4.01,4.02,2.48,39.978095999999994,21.02
13318,0.24,Very Good,F,VS2,61.4,58.0,419,3.99,4.05,2.47,39.913965000000005,21.02
13313,0.24,Very Good,E,VS2,62.1,58.0,419,4.0,4.02,2.49,40.0392,21.02
40861,0.24,Ideal,H,VVS1,60.7,57.0,504,4.02,4.05,2.44,39.72564,21.02
44858,0.24,Ideal,F,VVS2,62.4,55.0,526,3.99,4.02,2.5,40.0995,21.02
30282,0.24,Very Good,H,VVS2,61.3,57.0,449,4.01,4.04,2.46,39.85298399999999,21.020000000000003
45163,0.24,Ideal,F,VVS1,61.8,59.0,526,4.0,4.03,2.48,39.9776,21.020000000000003
30289,0.24,Very Good,H,VVS1,61.3,56.0,449,4.01,4.04,2.46,39.85298399999999,21.020000000000003
28987,0.24,Ideal,G,VS1,61.8,56.0,442,3.99,4.04,2.48,39.976608000000006,21.020000000000003
36873,0.24,Very Good,E,VVS2,58.9,63.0,485,4.05,4.07,2.39,39.395565,21.020000000000003
28042,0.24,Ideal,F,VVS1,61.8,55.0,678,4.0,4.03,2.48,39.9776,21.020000000000003
52072,0.24,Very Good,F,IF,60.4,58.0,552,4.02,4.06,2.44,39.823727999999996,21.039999999999996
43113,0.25,Very Good,D,VVS2,63.0,56.0,512,3.98,4.02,2.52,40.318991999999994,21.04
33586,0.25,Very Good,H,VVS2,63.3,54.0,467,3.98,4.02,2.52,40.318991999999994,21.04
30293,0.24,Ideal,H,VVS1,62.4,56.0,449,3.99,4.03,2.5,40.199250000000006,21.04
4694,0.24,Ideal,F,VS1,62.7,54.0,572,3.99,4.02,2.51,40.25989799999999,21.04
40832,0.24,Very Good,G,VS1,62.4,56.0,391,3.99,4.03,2.5,40.199250000000006,21.04
27744,0.24,Premium,D,VVS2,58.8,58.0,668,4.08,4.05,2.39,39.492360000000005,21.04
43840,0.24,Very Good,D,VVS2,58.8,58.0,521,4.05,4.08,2.39,39.492360000000005,21.04
6705,0.25,Premium,H,VVS1,62.7,60.0,577,4.03,3.98,2.51,40.258894,21.04
45159,0.24,Ideal,F,VVS2,61.7,59.0,526,4.01,4.03,2.48,40.077543999999996,21.04
36889,0.24,Very Good,E,VVS1,60.7,60.0,485,4.01,4.06,2.45,39.88746999999999,21.04
48433,0.24,Ideal,F,VVS2,61.4,59.0,540,4.0,4.05,2.47,40.014,21.040000000000003
30286,0.24,Very Good,G,VVS2,62.0,56.0,449,4.0,4.03,2.49,40.1388,21.040000000000003
6351,0.25,Very Good,F,VVS2,62.0,59.0,576,3.99,4.04,2.49,40.13780400000001,21.040000000000003
30287,0.24,Very Good,G,VVS2,62.0,57.0,449,4.0,4.03,2.49,40.1388,21.040000000000003
51407,0.25,Very Good,D,VVS2,62.0,61.0,548,3.99,4.04,2.49,40.13780400000001,21.040000000000003
30102,0.25,Premium,F,VVS2,62.0,59.0,740,4.04,3.99,2.49,40.13780400000001,21.040000000000003
52064,0.24,Very Good,F,VVS1,59.0,59.0,552,4.05,4.08,2.4,39.6576,21.06
27742,0.24,Premium,E,VVS1,60.3,61.0,668,4.06,4.03,2.44,39.922791999999994,21.06
36267,0.24,Ideal,F,VVS1,61.1,56.0,963,4.01,4.05,2.47,40.114034999999994,21.06
30283,0.24,Very Good,H,VVS2,61.4,57.0,449,4.02,4.04,2.47,40.114776000000006,21.06
1367,0.24,Ideal,G,VVS1,62.0,55.0,559,4.01,4.03,2.49,40.239147,21.06
6360,0.25,Very Good,E,VVS1,62.9,59.0,576,3.99,4.02,2.52,40.420296,21.06
43539,0.24,Very Good,E,VVS1,60.3,61.0,521,4.03,4.06,2.44,39.922791999999994,21.06
5688,0.25,Very Good,F,VVS2,63.2,57.0,575,3.99,4.01,2.53,40.479746999999996,21.06
51410,0.25,Very Good,F,VVS1,64.2,58.0,548,3.96,4.01,2.56,40.651776,21.06
47462,0.24,Premium,E,VS2,62.6,58.0,536,4.03,3.99,2.51,40.360047,21.06
31629,0.25,Ideal,G,VS1,62.5,55.0,454,4.0,4.02,2.51,40.36079999999999,21.06
30115,0.25,Premium,E,VVS1,62.9,59.0,740,4.02,3.99,2.52,40.420296,21.06
9995,0.24,Premium,E,VS2,62.6,58.0,417,3.99,4.03,2.51,40.360047,21.06
28043,0.24,Ideal,E,VVS1,60.2,57.0,678,4.02,4.07,2.44,39.921816,21.06
51753,0.24,Very Good,E,VVS2,60.3,58.0,552,4.03,4.06,2.44,39.922791999999994,21.06
28039,0.24,Ideal,E,VVS2,61.6,56.0,678,4.01,4.04,2.48,40.176992,21.060000000000002
15659,0.24,Very Good,F,VVS2,61.8,56.0,608,4.01,4.04,2.48,40.176992,21.060000000000002
5686,0.25,Very Good,F,VVS2,61.0,58.0,575,4.02,4.05,2.46,40.05126,21.060000000000002
36222,0.24,Very Good,F,VVS1,59.4,60.0,478,4.04,4.08,2.41,39.724512000000004,21.060000000000002
32605,0.25,Good,D,VVS2,64.6,56.0,462,3.97,3.99,2.57,40.709571,21.060000000000002
52065,0.24,Very Good,F,VVS1,58.7,59.0,552,4.04,4.1,2.39,39.58796,21.060000000000002
1366,0.24,Ideal,G,VVS1,62.2,56.0,559,4.0,4.04,2.5,40.4,21.08
28312,0.25,Premium,E,VS1,61.5,60.0,435,4.02,4.04,2.48,40.277184,21.08
51756,0.24,Very Good,E,VVS2,60.9,58.0,552,4.03,4.05,2.46,40.15089,21.08
40865,0.24,Ideal,H,IF,62.1,57.0,504,4.0,4.04,2.5,40.4,21.08
36878,0.24,Very Good,D,VVS2,61.5,61.0,485,4.02,4.04,2.48,40.277184,21.08
30108,0.25,Premium,E,VVS2,61.5,59.0,740,4.04,4.02,2.48,40.277184,21.08
1033,0.25,Premium,E,VS1,61.5,60.0,558,4.04,4.02,2.48,40.277184,21.08
28908,0.25,Ideal,F,VVS1,62.3,56.0,705,4.01,4.03,2.5,40.40075,21.08
35916,0.24,Very Good,E,VVS2,60.6,62.0,478,4.03,4.06,2.45,40.08641,21.08
36221,0.24,Very Good,F,VVS1,60.6,60.0,478,4.03,4.06,2.45,40.08641,21.08
6355,0.25,Premium,E,VVS2,61.5,59.0,576,4.02,4.04,2.48,40.277184,21.08
27633,0.24,Very Good,E,VS1,61.5,57.0,357,3.99,4.07,2.48,40.27346400000001,21.080000000000002
1030,0.25,Premium,F,VS1,61.2,59.0,558,4.05,4.02,2.47,40.21407,21.080000000000002
35917,0.24,Very Good,D,VVS2,61.9,58.0,478,4.02,4.03,2.49,40.339493999999995,21.080000000000002
28311,0.25,Very Good,F,VS1,61.2,59.0,435,4.02,4.05,2.47,40.21407,21.080000000000002
43112,0.25,Very Good,D,VVS2,64.2,55.0,512,3.98,4.0,2.56,40.7552,21.080000000000002
44854,0.25,Very Good,E,VVS2,63.1,55.0,526,3.98,4.04,2.53,40.680375999999995,21.099999999999998
43863,0.24,Ideal,I,VVS2,61.5,56.0,523,4.02,4.05,2.48,40.37688,21.1
51408,0.25,Very Good,D,VVS2,61.1,59.0,548,4.03,4.05,2.47,40.314105000000005,21.1
30947,0.24,Very Good,F,SI1,61.6,57.0,370,4.02,4.05,2.48,40.37688,21.1
23608,0.25,Very Good,F,VVS1,62.2,56.0,633,4.02,4.03,2.5,40.50149999999999,21.1
36225,0.24,Very Good,D,VVS1,59.2,59.0,478,4.04,4.1,2.41,39.91924,21.1
51409,0.25,Very Good,D,VVS2,62.8,56.0,548,4.0,4.03,2.52,40.622400000000006,21.1
28336,0.25,Very Good,F,VS1,62.1,58.0,436,4.0,4.05,2.5,40.5,21.1
23606,0.25,Very Good,F,VVS2,62.8,54.0,633,4.0,4.03,2.52,40.622400000000006,21.1
23602,0.25,Very Good,F,VVS2,62.2,57.0,633,4.01,4.04,2.5,40.501,21.1
28041,0.24,Ideal,F,VVS1,60.8,55.0,678,4.03,4.06,2.46,40.25002799999999,21.1
35914,0.24,Very Good,E,VVS2,61.1,60.0,478,4.01,4.07,2.47,40.312129,21.1
15661,0.24,Very Good,F,VVS2,60.6,59.0,608,4.04,4.06,2.45,40.185880000000004,21.1
13316,0.24,Very Good,E,VS2,61.5,58.0,419,4.02,4.05,2.48,40.37688,21.1
